image_id,side,top_ratio,vertical_span,density,texture_std,green_saturation,green_dominant_ratio,grass_px
1425239162716098,left,0.6902,0.5958,0.1411,26.66,0.4468,0.8915,386224
1425942692877710,left,0.4876,0.4536,0.1015,21.3,0.4815,0.9012,277866
1427668335536488,left,0.4956,0.4639,0.069,29.89,0.3833,0.3927,188928
1431136372016880,left,0.5025,0.4689,0.1145,36.14,0.3377,0.6986,313321
1431567895306532,left,0.5183,0.1542,0.0242,29.8,0.3011,0.7081,66277
1431574798339803,left,0.5331,0.4965,0.1645,25.91,0.5522,0.8209,450138
1431678868537500,left,0.5015,0.4531,0.0941,39.64,0.4359,0.824,257398
1431903178589087,left,0.4931,0.4368,0.0692,23.36,0.3866,0.5304,189477
1432140278703379,left,0.5124,0.4881,0.1074,22.72,0.4286,0.7597,293997
1432230365147277,left,0.499,0.2213,0.0758,30.01,0.377,0.6206,207475
1432887428350704,left,0.4911,0.4585,0.0592,32.41,0.3333,0.4266,162047
1433160922153164,left,0.4753,0.3849,0.0048,28.44,0.4125,0.7073,13080
1433216418477399,left,0.5296,0.4975,0.1007,30.28,0.3333,0.8451,275455
1434020118430439,left,0.5543,0.5188,0.1033,25.07,0.5333,0.7819,282549
1434565084725714,left,0.4876,0.4407,0.0959,21.39,0.386,0.6017,262485
1435708394559082,left,0.5208,0.4526,0.1436,24.51,0.4,0.6778,392918
1436158524699170,left,0.5593,0.5059,0.1645,21.69,0.4286,0.4875,450173
1439206134522636,left,0.5306,0.4783,0.1368,28.62,0.382,0.8646,374450
1439320414518405,left,0.5054,0.4664,0.093,35.78,0.3158,0.6598,254383
1440322880768767,left,0.4985,0.461,0.0698,32.42,0.3448,0.7321,190958
1440479927626974,left,0.5089,0.4615,0.0951,22.68,0.4658,0.856,260201
1441166370914725,left,0.4886,0.4595,0.1127,16.81,0.4444,0.7953,308349
1441646387632673,left,0.5222,0.4659,0.1333,26.7,0.6214,0.9365,364685
1442365681235399,left,0.5138,0.4842,0.1271,31.06,0.5385,0.9129,347922
1443445313812088,left,0.5094,0.4812,0.1007,25.25,0.5385,0.9019,275643
1444267860595938,left,0.5548,0.5178,0.1226,38.55,0.4118,0.6914,335445
1444791280694112,left,0.5,0.4669,0.1054,26.61,0.4217,0.7986,288376
1445146187131254,left,0.4901,0.4644,0.1361,18.63,0.4839,0.8703,372558
1445978613534729,left,0.5138,0.4545,0.112,27.9,0.3919,0.9188,306389
1446400480338938,left,0.5138,0.4659,0.1168,30.49,0.3409,0.4083,319583
1446699030147795,left,0.5227,0.3093,0.1199,20.28,0.5,0.9579,328031
1446731560157230,left,0.4896,0.4615,0.1351,22.01,0.5263,0.8886,369829
1449089469942690,left,0.5529,0.5292,0.1026,32.45,0.5455,0.7404,280669
1450324396653256,left,0.5272,0.498,0.1069,36.13,0.3793,0.7069,292511
1451051669717973,left,0.4896,0.4575,0.0754,19.73,0.3125,0.5671,206326
1451261119686818,left,0.5292,0.496,0.1161,33.12,0.434,0.8351,317639
1451822013123884,left,0.4995,0.4699,0.101,27.67,0.4583,0.9195,276418
1451972289683205,left,0.4936,0.4135,0.1143,20.43,0.3902,0.9541,312810
1455155085972597,left,0.5178,0.4881,0.1606,24.21,0.507,0.8376,439435
1457392106109224,left,0.5094,0.4679,0.1108,23.12,0.5421,0.8887,303320
1458219382974177,left,0.4867,0.4392,0.0215,22.82,0.3431,0.511,58735
1468163064725593,left,0.5588,0.5114,0.1538,38.28,0.5088,0.8537,420750
1471311624412210,left,0.6546,0.6319,0.1631,25.89,0.4545,0.7507,446271
1475063584241981,left,0.5153,0.455,0.0705,33.28,0.3902,0.7215,193038
1476605354469316,left,0.4881,0.209,0.0572,20.49,0.2931,0.5386,156475
1481763816894942,left,0.5059,0.122,0.0046,21.34,0.4396,0.9787,12657
1481959780016261,left,0.4867,0.4457,0.0939,25.79,0.4828,0.6839,256908
1484661199896262,left,0.4896,0.4516,0.0934,27.15,0.375,0.822,255574
1499339852197654,left,0.5356,0.4881,0.1741,26.87,0.375,0.5102,476281
1504479640648457,left,0.5163,0.4906,0.0439,21.7,0.3678,0.4561,120220
1505384250562544,left,1.0,0.9644,0.1776,34.31,0.4105,0.7804,485858
1505790297864431,left,0.5272,0.4956,0.122,40.01,0.4274,0.6603,333879
1506260030473296,left,0.5464,0.5178,0.0965,29.85,0.5333,0.7556,264174
1507768673656276,left,0.539,0.501,0.1817,33.82,0.5455,0.7706,497241
1508216290279809,left,0.4956,0.4585,0.0745,18.28,0.3377,0.7993,203898
1514802390472924,left,0.4857,0.456,0.0584,22.39,0.4348,0.9533,159792
1515557056196564,left,0.5301,0.5168,0.1577,32.25,0.5495,0.9179,431433
1516178526151925,left,0.498,0.4659,0.1387,26.62,0.4478,0.8614,379496
1517209379354336,left,0.5578,0.5311,0.1458,29.36,0.4328,0.8339,398932
1518610519199451,left,0.5044,0.4674,0.0999,31.96,0.4958,0.7355,273252
1518952982522021,left,0.4956,0.4951,0.097,25.21,0.5385,0.8385,265561
1521772675571793,left,0.5336,0.4842,0.074,23.07,0.5316,0.8609,202377
1523225192113236,left,0.4951,0.4664,0.0855,29.22,0.34,0.6085,233845
